order,vsini,rv,weight,limbdark
4,11.16929022439102,-15.5999675870697,1.0055288380282457,0.1780078125000002
5,7.1702606524539725,-15.199440064202976,1.0087778371646223,0.1675878906250002
6,9.047622357911195,-15.399516047146289,1.006333422569549,0.17101562500000025
11,9.200534089165744,-15.49956922301723,1.0008809788966948,0.2070312500000004
12,8.751518362972934,-15.599584144961522,1.000946710319916,0.2195898437500004
13,9.47140141325712,-15.699463580540488,1.0016172018117009,0.2235546875000004
14,8.601171454206774,-15.299733062619405,1.0021780976576302,0.2323437500000005
