order,vsini,rv,weight,limbdark
4,5.79876704330867,40.40368952563354,1.0054385596959567,0.1
5,2.0,43.20261624288495,1.007077768242334,0.1
6,2.0,44.60306149125968,1.0061961379957365,0.1
11,25.792548056169817,45.00329001539232,1.0003770731459944,0.1
13,33.336172243557414,43.40279497413873,1.001026027477162,0.1
