order,vsini,rv,weight,limbdark
4,6.839512896846013,-6.500082898148074,1.0064627082179394,0.1810546875000002
5,3.885850533110919,-6.599953465175523,1.0090777907491937,0.1745117187500002
6,7.440518657648337,-6.599867161598062,1.0063999577927158,0.1809375000000002
11,2.0,-6.999834055256372,1.0007594291314263,0.2283593750000004
12,3.56673693435525,-7.099827722393416,1.000738742480509,0.2410937500000005
13,2.612538230763373,-7.199953711106978,1.0016561533452948,0.2470605468750005
14,5.357730151968026,-7.299885115984429,1.001783207861267,0.25023437500000056
